arm	run_n	run	dump_date	tag	market	good	buy_orders	sell_orders	price	status
vanilla	1	1	1836.2.1	GBR	British Market	wine	27.14	40.20	31.96	ok
vanilla	1	1	1836.2.1	GBR	British Market	tea	1277.32	728.59	78.24	ok
vanilla	1	1	1836.2.1	GBR	British Market	coffee	965.12	579.17	74.98	ok
vanilla	1	1	1836.2.1	GBR	British Market	sugar	673.78	709.85	28.79	ok
vanilla	1	1	1836.2.1	GBR	British Market	tobacco	971.38	1015.64	38.63	ok
vanilla	1	1	1836.2.1	GBR	British Market	opium	2525.30	3380.42	37.30	ok
vanilla	1	1	1836.2.1	GBR	British Market	luxury_clothes	1253.14	1830.58	39.26	ok
vanilla	1	1	1836.2.1	GBR	British Market	luxury_furniture	979.80	1127.11	53.23	ok
vanilla	1	1	1836.2.1	GBR	British Market	gold	0.00	44.84	100.00	ok
vanilla	1	1	1836.2.1	GBR	British Market	fine_art	19.86	15.45	242.85	ok
vanilla	1	1	1836.2.1	FRA	French Market	ammunition	132.50	154.50	43.77	ok
vanilla	1	1	1836.2.1	FRA	French Market	small_arms	380.96	313.39	69.70	ok
vanilla	1	1	1836.2.1	FRA	French Market	artillery	53.24	50.64	72.69	ok
vanilla	1	1	1836.2.1	FRA	French Market	grain	3325.64	3823.76	17.75	ok
vanilla	1	1	1836.2.1	FRA	French Market	fish	722.47	832.93	17.70	ok
vanilla	1	1	1836.2.1	FRA	French Market	fabric	1925.06	1325.85	26.77	ok
vanilla	1	1	1836.2.1	FRA	French Market	wood	2703.27	1862.20	26.77	ok
vanilla	1	1	1836.2.1	FRA	French Market	groceries	809.65	614.23	37.15	ok
vanilla	1	1	1836.2.1	FRA	French Market	clothes	1571.99	1821.00	26.43	ok
vanilla	1	1	1836.2.1	FRA	French Market	furniture	1237.85	1541.85	24.47	ok
vanilla	1	1	1836.2.1	FRA	French Market	paper	1418.58	1554.28	27.84	ok
vanilla	1	1	1836.2.1	FRA	French Market	services	1189.28	2088.12	12.99	ok
vanilla	1	1	1836.2.1	FRA	French Market	transportation	660.24	201.80	52.50	ok
vanilla	1	1	1836.2.1	FRA	French Market	merchant_marine	118.75	102.50	55.94	ok
vanilla	1	1	1836.2.1	FRA	French Market	clippers	232.99	411.98	25.42	ok
vanilla	1	1	1836.2.1	FRA	French Market	silk	293.57	294.60	39.89	ok
vanilla	1	1	1836.2.1	FRA	French Market	dye	192.33	176.10	42.76	ok
vanilla	1	1	1836.2.1	FRA	French Market	sulfur	242.24	186.40	61.23	ok
vanilla	1	1	1836.2.1	FRA	French Market	coal	692.48	564.00	35.12	ok
vanilla	1	1	1836.2.1	FRA	French Market	iron	663.24	347.00	67.34	ok
vanilla	1	1	1836.2.1	FRA	French Market	lead	123.76	123.60	40.04	ok
vanilla	1	1	1836.2.1	FRA	French Market	hardwood	436.30	331.80	49.44	ok
vanilla	1	1	1836.2.1	FRA	French Market	engines	14.53	8.00	96.75	ok
vanilla	1	1	1836.2.1	FRA	French Market	steel	166.40	131.60	59.91	ok
vanilla	1	1	1836.2.1	FRA	French Market	glass	121.34	185.90	24.03	ok
vanilla	1	1	1836.2.1	FRA	French Market	fertilizer	153.00	82.79	49.08	ok
vanilla	1	1	1836.2.1	FRA	French Market	tools	749.31	665.60	43.77	ok
vanilla	1	1	1836.2.1	FRA	French Market	explosives	61.80	50.50	58.39	ok
vanilla	1	1	1836.2.1	FRA	French Market	porcelain	55.86	61.96	64.26	ok
vanilla	1	1	1836.2.1	FRA	French Market	meat	773.40	662.81	33.75	ok
vanilla	1	1	1836.2.1	FRA	French Market	fruit	186.17	189.93	29.54	ok
vanilla	1	1	1836.2.1	FRA	French Market	liquor	321.52	353.70	27.74	ok
vanilla	1	1	1836.2.1	FRA	French Market	wine	1130.28	1788.30	28.16	ok
vanilla	1	1	1836.2.1	FRA	French Market	tea	0.70	0.00	87.50	ok
vanilla	1	1	1836.2.1	FRA	French Market	coffee	125.60	81.00	70.64	ok
vanilla	1	1	1836.2.1	FRA	French Market	sugar	424.28	299.32	39.39	ok
vanilla	1	1	1836.2.1	FRA	French Market	tobacco	257.22	153.20	60.37	ok
vanilla	1	1	1836.2.1	FRA	French Market	luxury_clothes	380.48	468.89	49.54	ok
vanilla	1	1	1836.2.1	FRA	French Market	luxury_furniture	107.05	131.18	49.85	ok
vanilla	1	1	1836.2.1	FRA	French Market	fine_art	14.31	10.20	260.48	ok
stub	2	1	1836.2.1	GBR	British Market	ammunition	107.50	101.99	52.02	ok
stub	2	1	1836.2.1	GBR	British Market	small_arms	676.85	638.42	62.70	ok
stub	2	1	1836.2.1	GBR	British Market	artillery	74.13	67.44	75.20	ok
stub	2	1	1836.2.1	GBR	British Market	grain	11142.29	11719.79	19.22	ok
stub	2	1	1836.2.1	GBR	British Market	fish	2183.13	2049.61	20.97	ok
stub	2	1	1836.2.1	GBR	British Market	fabric	5977.96	6208.43	19.42	ok
stub	2	1	1836.2.1	GBR	British Market	wood	5234.50	4815.46	21.30	ok
stub	2	1	1836.2.1	GBR	British Market	groceries	1519.49	623.96	52.50	ok
stub	2	1	1836.2.1	GBR	British Market	clothes	5068.57	6485.37	23.71	ok
stub	2	1	1836.2.1	GBR	British Market	furniture	4032.69	4034.08	29.99	ok
stub	2	1	1836.2.1	GBR	British Market	paper	1502.96	971.00	42.32	ok
stub	2	1	1836.2.1	GBR	British Market	services	4975.98	7723.49	17.57	ok
stub	2	1	1836.2.1	GBR	British Market	transportation	3068.27	707.21	52.50	ok
stub	2	1	1836.2.1	GBR	British Market	merchant_marine	401.01	724.09	19.78	ok
stub	2	1	1836.2.1	GBR	British Market	clippers	874.47	1176.11	44.47	ok
stub	2	1	1836.2.1	GBR	British Market	silk	939.87	741.22	48.04	ok
stub	2	1	1836.2.1	GBR	British Market	dye	512.78	2415.69	10.00	ok
stub	2	1	1836.2.1	GBR	British Market	sulfur	177.29	197.00	45.83	ok
stub	2	1	1836.2.1	GBR	British Market	coal	2365.20	3048.99	23.49	ok
stub	2	1	1836.2.1	GBR	British Market	iron	1197.31	747.01	58.08	ok
stub	2	1	1836.2.1	GBR	British Market	lead	113.29	145.29	31.52	ok
stub	2	1	1836.2.1	GBR	British Market	hardwood	1409.49	775.20	64.54	ok
stub	2	1	1836.2.1	GBR	British Market	oil	90.54	60.99	54.53	ok
stub	2	1	1836.2.1	GBR	British Market	engines	102.25	123.58	50.61	ok
stub	2	1	1836.2.1	GBR	British Market	steel	564.88	561.60	50.21	ok
stub	2	1	1836.2.1	GBR	British Market	glass	257.16	278.74	37.48	ok
stub	2	1	1836.2.1	GBR	British Market	fertilizer	404.23	267.24	41.53	ok
stub	2	1	1836.2.1	GBR	British Market	tools	1929.37	1888.80	40.64	ok
stub	2	1	1836.2.1	GBR	British Market	explosives	40.79	27.74	67.64	ok
stub	2	1	1836.2.1	GBR	British Market	porcelain	203.95	110.12	114.73	ok
stub	2	1	1836.2.1	GBR	British Market	meat	1498.06	911.80	44.46	ok
stub	2	1	1836.2.1	GBR	British Market	fruit	1602.08	726.17	52.50	ok
stub	2	1	1836.2.1	GBR	British Market	liquor	1823.51	2994.10	15.55	ok
stub	2	1	1836.2.1	GBR	British Market	wine	26.55	40.20	30.72	ok
stub	2	1	1836.2.1	GBR	British Market	tea	1285.95	743.59	77.35	ok
stub	2	1	1836.2.1	GBR	British Market	coffee	979.65	614.82	72.25	ok
stub	2	1	1836.2.1	GBR	British Market	sugar	880.41	711.40	35.34	ok
stub	2	1	1836.2.1	GBR	British Market	tobacco	908.64	956.93	38.40	ok
stub	2	1	1836.2.1	GBR	British Market	opium	2522.08	3370.70	37.38	ok
stub	2	1	1836.2.1	GBR	British Market	luxury_clothes	1253.59	1522.61	50.34	ok
stub	2	1	1836.2.1	GBR	British Market	luxury_furniture	982.72	1127.09	53.38	ok
stub	2	1	1836.2.1	GBR	British Market	gold	0.00	36.54	100.00	ok
stub	2	1	1836.2.1	GBR	British Market	fine_art	20.60	15.45	250.03	ok
stub	2	1	1836.2.1	FRA	French Market	ammunition	137.50	154.50	45.36	ok
stub	2	1	1836.2.1	FRA	French Market	small_arms	385.17	315.60	69.91	ok
stub	2	1	1836.2.1	FRA	French Market	artillery	50.67	50.97	69.68	ok
stub	2	1	1836.2.1	FRA	French Market	grain	3425.20	3752.21	18.56	ok
stub	2	1	1836.2.1	FRA	French Market	fish	761.29	850.45	18.24	ok
stub	2	1	1836.2.1	FRA	French Market	fabric	1803.25	1335.95	25.24	ok
stub	2	1	1836.2.1	FRA	French Market	wood	2623.53	2120.85	23.55	ok
stub	2	1	1836.2.1	FRA	French Market	groceries	730.78	521.34	39.03	ok
stub	2	1	1836.2.1	FRA	French Market	clothes	1550.16	1733.29	27.34	ok
stub	2	1	1836.2.1	FRA	French Market	furniture	1245.57	1541.20	24.65	ok
stub	2	1	1836.2.1	FRA	French Market	paper	1409.55	1554.24	27.69	ok
stub	2	1	1836.2.1	FRA	French Market	services	1200.84	2096.94	13.21	ok
stub	2	1	1836.2.1	FRA	French Market	transportation	675.80	188.65	52.50	ok
stub	2	1	1836.2.1	FRA	French Market	merchant_marine	118.78	179.76	30.74	ok
stub	2	1	1836.2.1	FRA	French Market	clippers	265.08	411.64	35.12	ok
stub	2	1	1836.2.1	FRA	French Market	silk	294.00	294.60	39.94	ok
stub	2	1	1836.2.1	FRA	French Market	dye	185.06	171.10	42.44	ok
stub	2	1	1836.2.1	FRA	French Market	sulfur	242.23	182.40	62.30	ok
stub	2	1	1836.2.1	FRA	French Market	coal	667.15	564.00	34.11	ok
stub	2	1	1836.2.1	FRA	French Market	iron	509.69	296.80	61.51	ok
stub	2	1	1836.2.1	FRA	French Market	lead	123.74	123.60	40.03	ok
stub	2	1	1836.2.1	FRA	French Market	hardwood	403.77	228.00	63.12	ok
stub	2	1	1836.2.1	FRA	French Market	engines	10.90	8.00	76.34	ok
stub	2	1	1836.2.1	FRA	French Market	steel	166.40	132.46	59.60	ok
stub	2	1	1836.2.1	FRA	French Market	glass	121.18	185.82	24.00	ok
stub	2	1	1836.2.1	FRA	French Market	fertilizer	152.97	85.47	47.76	ok
stub	2	1	1836.2.1	FRA	French Market	tools	753.50	665.60	43.96	ok
stub	2	1	1836.2.1	FRA	French Market	explosives	61.80	50.50	58.39	ok
stub	2	1	1836.2.1	FRA	French Market	porcelain	52.72	61.94	60.82	ok
stub	2	1	1836.2.1	FRA	French Market	meat	782.23	648.74	34.62	ok
stub	2	1	1836.2.1	FRA	French Market	fruit	185.12	247.81	22.38	ok
stub	2	1	1836.2.1	FRA	French Market	liquor	394.25	538.12	21.78	ok
stub	2	1	1836.2.1	FRA	French Market	wine	1090.45	1788.30	26.00	ok
stub	2	1	1836.2.1	FRA	French Market	tea	0.65	0.00	87.50	ok
stub	2	1	1836.2.1	FRA	French Market	coffee	121.12	70.99	76.47	ok
stub	2	1	1836.2.1	FRA	French Market	sugar	498.25	347.71	39.74	ok
stub	2	1	1836.2.1	FRA	French Market	tobacco	260.91	165.18	57.38	ok
stub	2	1	1836.2.1	FRA	French Market	luxury_clothes	390.60	468.89	50.98	ok
stub	2	1	1836.2.1	FRA	French Market	luxury_furniture	107.74	131.18	50.21	ok
stub	2	1	1836.2.1	FRA	French Market	fine_art	14.21	10.20	259.10	ok
