run	dump_date	tag	market	good	buy_orders	sell_orders	price	status
1	1836.2.1	GBR	British Market	liquor	1700.94	2441.10	20.20	ok
1	1836.2.1	GBR	British Market	wine	27.14	40.20	31.96	ok
1	1836.2.1	GBR	British Market	tea	1277.32	728.59	78.24	ok
1	1836.2.1	GBR	British Market	coffee	965.12	579.17	74.98	ok
1	1836.2.1	GBR	British Market	sugar	673.78	709.85	28.79	ok
1	1836.2.1	GBR	British Market	tobacco	971.38	1015.64	38.63	ok
1	1836.2.1	GBR	British Market	opium	2525.30	3380.42	37.30	ok
1	1836.2.1	GBR	British Market	luxury_clothes	1253.14	1830.58	39.26	ok
1	1836.2.1	GBR	British Market	luxury_furniture	979.80	1127.11	53.23	ok
1	1836.2.1	GBR	British Market	gold	0.00	44.84	100.00	ok
1	1836.2.1	GBR	British Market	fine_art	19.86	15.45	242.85	ok
1	1836.2.1	FRA	French Market	ammunition	132.50	154.50	43.77	ok
1	1836.2.1	FRA	French Market	small_arms	380.96	313.39	69.70	ok
1	1836.2.1	FRA	French Market	artillery	53.24	50.64	72.69	ok
1	1836.2.1	FRA	French Market	grain	3325.64	3823.76	17.75	ok
1	1836.2.1	FRA	French Market	fish	722.47	832.93	17.70	ok
1	1836.2.1	FRA	French Market	fabric	1925.06	1325.85	26.77	ok
1	1836.2.1	FRA	French Market	wood	2703.27	1862.20	26.77	ok
1	1836.2.1	FRA	French Market	groceries	809.65	614.23	37.15	ok
1	1836.2.1	FRA	French Market	clothes	1571.99	1821.00	26.43	ok
1	1836.2.1	FRA	French Market	furniture	1237.85	1541.85	24.47	ok
1	1836.2.1	FRA	French Market	paper	1418.58	1554.28	27.84	ok
1	1836.2.1	FRA	French Market	services	1189.28	2088.12	12.99	ok
1	1836.2.1	FRA	French Market	transportation	660.24	201.80	52.50	ok
1	1836.2.1	FRA	French Market	merchant_marine	118.75	102.50	55.94	ok
1	1836.2.1	FRA	French Market	clippers	232.99	411.98	25.42	ok
1	1836.2.1	FRA	French Market	silk	293.57	294.60	39.89	ok
1	1836.2.1	FRA	French Market	dye	192.33	176.10	42.76	ok
1	1836.2.1	FRA	French Market	sulfur	242.24	186.40	61.23	ok
1	1836.2.1	FRA	French Market	coal	692.48	564.00	35.12	ok
1	1836.2.1	FRA	French Market	iron	663.24	347.00	67.34	ok
1	1836.2.1	FRA	French Market	lead	123.76	123.60	40.04	ok
1	1836.2.1	FRA	French Market	hardwood	436.30	331.80	49.44	ok
1	1836.2.1	FRA	French Market	engines	14.53	8.00	96.75	ok
1	1836.2.1	FRA	French Market	steel	166.40	131.60	59.91	ok
1	1836.2.1	FRA	French Market	glass	121.34	185.90	24.03	ok
1	1836.2.1	FRA	French Market	fertilizer	153.00	82.79	49.08	ok
1	1836.2.1	FRA	French Market	tools	749.31	665.60	43.77	ok
1	1836.2.1	FRA	French Market	explosives	61.80	50.50	58.39	ok
1	1836.2.1	FRA	French Market	porcelain	55.86	61.96	64.26	ok
1	1836.2.1	FRA	French Market	meat	773.40	662.81	33.75	ok
1	1836.2.1	FRA	French Market	fruit	186.17	189.93	29.54	ok
1	1836.2.1	FRA	French Market	liquor	321.52	353.70	27.74	ok
1	1836.2.1	FRA	French Market	wine	1130.28	1788.30	28.16	ok
1	1836.2.1	FRA	French Market	tea	0.70	0.00	87.50	ok
1	1836.2.1	FRA	French Market	coffee	125.60	81.00	70.64	ok
1	1836.2.1	FRA	French Market	sugar	424.28	299.32	39.39	ok
1	1836.2.1	FRA	French Market	tobacco	257.22	153.20	60.37	ok
1	1836.2.1	FRA	French Market	luxury_clothes	380.48	468.89	49.54	ok
1	1836.2.1	FRA	French Market	luxury_furniture	107.05	131.18	49.85	ok
1	1836.2.1	FRA	French Market	fine_art	14.31	10.20	260.48	ok
